cod_cliente,data_referencia,ind_funcionario,pais_residencia,sexo,idade,data_cadastro,ind_novo,tempo_relacionamento_meses,ind_relacionamento,ult_data_cliente_principal,ind_rel_inicio_mes,tipo_rel_inicio_mes,ind_residente,ind_estrangeiro,conjuge_funcionario,canal_entrada,ind_falecido,estado,ind_ativo,renda_estimada_anual_brl,segmento,possui_poupanca,possui_aval_garantia,possui_conta_corrente,possui_conta_investimento,possui_conta_salario,possui_conta_junior,possui_conta_universitaria,possui_conta_corrente_plus,possui_conta_premium,possui_cdb_curto_prazo,possui_cdb_medio_prazo,possui_cdb_longo_prazo,possui_conta_digital,possui_fundo_investimento,possui_financiamento_imovel,possui_previdencia_privada,possui_emprestimo_pessoal,possui_pagamento_tributos,possui_cartao_credito,possui_titulos_investimento,possui_financiamento_veiculo,possui_folha_pagamento,possui_beneficio_previdencia,possui_debito_automatico,segmentos_sinteticos,evento_viagem_sintetico
100870,2022-10-28,N,BR,M,45,2005-06-30,0.0,208,1.0,,1.0,A,S,N,,KAT,N,SP,1.0,47821.31,02 - VAREJO,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1.0,1.0,1,"[""SEG-CREDITO-ATIVO"", ""SEG-INVESTIDOR-INICIANTE"", ""SEG-POUPADOR"", ""SEG-CONTRIBUINTE-IR"", ""SEG-PERFIL-FAMILIAR""]",0
1186912,2023-01-28,N,BR,M,23,2020-10-01,0.0,27,1.0,,1.0,A,S,N,,KHE,N,SP,1.0,146222.0,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"[""SEG-JOVEM"", ""SEG-CREDITO-ATIVO"", ""SEG-SEM-CARTAO"", ""SEG-INVESTIDOR-INICIANTE"", ""SEG-POUPADOR""]",0
952537,2023-04-28,N,BR,F,26,2018-10-01,0.0,54,1.0,,1.0,A,S,S,,KAT,N,PA,1.0,189376.26,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,1,"[""SEG-JOVEM"", ""SEG-ALTA-RENDA"", ""SEG-CREDITO-ATIVO"", ""SEG-SEM-CARTAO"", ""SEG-INVESTIDOR-INICIANTE"", ""SEG-POUPADOR"", ""SEG-PERFIL-FAMILIAR""]",0
1383107,2022-02-28,N,BR,F,36,2022-02-17,1.0,5,1.0,,1.0,I,S,N,,KHL,N,SP,1.0,36226.77,02 - VAREJO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"[""SEG-SEM-CARTAO"", ""SEG-INVESTIDOR-INICIANTE"", ""SEG-POUPADOR"", ""SEG-PERFIL-FAMILIAR""]",0
904395,2023-04-28,N,BR,M,51,2018-02-18,0.0,62,1.0,,1.0,A,S,N,,KFC,N,RJ,1.0,11466.07,02 - VAREJO,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,"[""SEG-SEM-CARTAO"", ""SEG-INVESTIDOR-INICIANTE"", ""SEG-PERFIL-FAMILIAR""]",0
366424,2022-07-28,N,BR,F,46,2009-06-28,0.0,157,1.0,,1.0,A,S,N,,KAT,N,SP,1.0,42092.36,02 - VAREJO,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,"[""SEG-CREDITO-ATIVO"", ""SEG-SEM-CARTAO"", ""SEG-INVESTIDOR-INICIANTE"", ""SEG-POUPADOR"", ""SEG-PERFIL-FAMILIAR""]",0
495572,2023-01-28,N,BR,M,41,2011-10-11,0.0,135,1.0,,1.0,A,S,N,,KAT,N,BA,1.0,13712.06,02 - VAREJO,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1.0,1.0,1,"[""SEG-INVESTIDOR-EXPERIENTE"", ""SEG-PERFIL-FAMILIAR""]",0
1464387,2023-01-28,N,BR,F,29,2022-09-29,1.0,4,1.0,,1,I,S,N,,KHQ,N,SP,1.0,72376.78,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"[""SEG-JOVEM"", ""SEG-ALTA-RENDA"", ""SEG-SEM-CARTAO"", ""SEG-INVESTIDOR-INICIANTE"", ""SEG-POUPADOR"", ""SEG-PERFIL-FAMILIAR""]",0
367210,2022-08-28,N,BR,M,59,2009-07-09,0.0,157,1.0,,1.0,A,S,N,,KAD,N,SE,1.0,8188.79,02 - VAREJO,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1.0,1.0,1,"[""SEG-SENIOR"", ""SEG-INVESTIDOR-INICIANTE"", ""SEG-PERFIL-FAMILIAR"", ""SEG-PROPRIETARIO""]",0
676424,2023-01-28,N,BR,M,24,2014-02-10,0.0,107,1.0,,1.0,A,S,N,,KFC,N,SP,1.0,38576.56,02 - VAREJO,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"[""SEG-JOVEM"", ""SEG-CREDITO-ATIVO"", ""SEG-SEM-CARTAO"", ""SEG-INVESTIDOR-INICIANTE"", ""SEG-POUPADOR"", ""SEG-VIAJANTE-EVENTO""]",1
